[exp31_head8_emb256_bs16_it2000_do0.2] iter 360/2000 | train_now 2.3703 | train_eval 2.3190 | val 2.3528 | gap -0.0338 | lr 5.73e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 905.0 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 370/2000 | train_now 2.3454 | train_eval 2.3129 | val 2.3540 | gap -0.0411 | lr 5.71e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 929.4 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 380/2000 | train_now 2.2849 | train_eval 2.2900 | val 2.3239 | gap -0.0339 | lr 5.68e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 906.2 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 390/2000 | train_now 2.4713 | train_eval 2.3042 | val 2.3040 | gap 0.0002 | lr 5.66e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 927.1 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 400/2000 | train_now 2.3445 | train_eval 2.2672 | val 2.3009 | gap -0.0337 | lr 5.64e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 929.5 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 410/2000 | train_now 2.3012 | train_eval 2.2664 | val 2.2962 | gap -0.0298 | lr 5.61e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 927.1 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 420/2000 | train_now 2.3202 | train_eval 2.2653 | val 2.2890 | gap -0.0238 | lr 5.59e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 929.3 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 430/2000 | train_now 2.3546 | train_eval 2.2481 | val 2.2979 | gap -0.0498 | lr 5.56e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 925.6 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 440/2000 | train_now 2.3293 | train_eval 2.2478 | val 2.2956 | gap -0.0478 | lr 5.54e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 900.8 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 450/2000 | train_now 2.2678 | train_eval 2.2528 | val 2.2780 | gap -0.0253 | lr 5.51e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 907.5 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 460/2000 | train_now 2.3050 | train_eval 2.2357 | val 2.2642 | gap -0.0285 | lr 5.48e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 956.6 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 470/2000 | train_now 2.3100 | train_eval 2.2288 | val 2.2509 | gap -0.0221 | lr 5.46e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 960.5 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 480/2000 | train_now 2.2940 | train_eval 2.2146 | val 2.2495 | gap -0.0349 | lr 5.43e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 950.8 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 490/2000 | train_now 2.2591 | train_eval 2.2127 | val 2.2530 | gap -0.0403 | lr 5.40e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 928.9 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 500/2000 | train_now 2.3026 | train_eval 2.1959 | val 2.2380 | gap -0.0421 | lr 5.37e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 897.5 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 510/2000 | train_now 2.2054 | train_eval 2.2056 | val 2.2391 | gap -0.0335 | lr 5.34e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 922.8 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 520/2000 | train_now 2.3314 | train_eval 2.2028 | val 2.2249 | gap -0.0220 | lr 5.31e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 899.1 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 530/2000 | train_now 2.2690 | train_eval 2.2086 | val 2.2531 | gap -0.0446 | lr 5.27e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 923.1 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 540/2000 | train_now 2.2432 | train_eval 2.1884 | val 2.2367 | gap -0.0483 | lr 5.24e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 895.0 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 550/2000 | train_now 2.1984 | train_eval 2.1644 | val 2.2012 | gap -0.0368 | lr 5.21e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 899.3 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 560/2000 | train_now 2.2542 | train_eval 2.1790 | val 2.2146 | gap -0.0356 | lr 5.17e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 923.2 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 570/2000 | train_now 2.2064 | train_eval 2.1806 | val 2.2187 | gap -0.0381 | lr 5.14e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 900.5 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 580/2000 | train_now 2.1996 | train_eval 2.1648 | val 2.2010 | gap -0.0362 | lr 5.10e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 897.2 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 590/2000 | train_now 2.1881 | train_eval 2.1584 | val 2.1903 | gap -0.0318 | lr 5.07e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 934.4 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 600/2000 | train_now 2.2223 | train_eval 2.1400 | val 2.1673 | gap -0.0273 | lr 5.03e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 949.9 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 610/2000 | train_now 2.2098 | train_eval 2.1369 | val 2.2067 | gap -0.0699 | lr 5.00e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 952.4 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 620/2000 | train_now 2.1714 | train_eval 2.1186 | val 2.1631 | gap -0.0444 | lr 4.96e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 895.0 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 630/2000 | train_now 2.2273 | train_eval 2.1402 | val 2.1765 | gap -0.0363 | lr 4.92e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 914.6 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 640/2000 | train_now 2.1788 | train_eval 2.1185 | val 2.1673 | gap -0.0488 | lr 4.88e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 892.8 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 650/2000 | train_now 2.2553 | train_eval 2.1184 | val 2.1553 | gap -0.0370 | lr 4.84e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 891.9 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 660/2000 | train_now 2.1981 | train_eval 2.1074 | val 2.1496 | gap -0.0422 | lr 4.80e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 928.2 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 670/2000 | train_now 2.2017 | train_eval 2.0803 | val 2.1591 | gap -0.0788 | lr 4.76e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 916.7 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 680/2000 | train_now 2.1353 | train_eval 2.0978 | val 2.1690 | gap -0.0712 | lr 4.72e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 891.0 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 690/2000 | train_now 2.1736 | train_eval 2.0839 | val 2.1258 | gap -0.0419 | lr 4.68e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 896.3 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 700/2000 | train_now 2.1435 | train_eval 2.0823 | val 2.1407 | gap -0.0585 | lr 4.64e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 923.2 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 710/2000 | train_now 2.1110 | train_eval 2.0823 | val 2.1135 | gap -0.0311 | lr 4.60e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 893.9 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 720/2000 | train_now 2.1704 | train_eval 2.0636 | val 2.1389 | gap -0.0753 | lr 4.56e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 927.4 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 730/2000 | train_now 2.1458 | train_eval 2.0732 | val 2.1375 | gap -0.0642 | lr 4.51e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 906.4 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 740/2000 | train_now 2.1874 | train_eval 2.0424 | val 2.1010 | gap -0.0586 | lr 4.47e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 908.4 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 750/2000 | train_now 2.0977 | train_eval 2.0465 | val 2.1302 | gap -0.0837 | lr 4.43e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 954.3 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 760/2000 | train_now 2.0997 | train_eval 2.0290 | val 2.1000 | gap -0.0710 | lr 4.38e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 891.5 ms/it
