[exp30_head8_emb256_bs16_it2000_do0.1] iter 970/2000 | train_now 1.9586 | train_eval 1.8301 | val 1.9650 | gap -0.1349 | lr 3.40e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 924.1 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 980/2000 | train_now 1.9241 | train_eval 1.8246 | val 1.9359 | gap -0.1113 | lr 3.35e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 892.1 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 990/2000 | train_now 1.8844 | train_eval 1.8431 | val 1.9472 | gap -0.1040 | lr 3.30e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 921.8 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 1000/2000 | train_now 1.8819 | train_eval 1.8335 | val 1.9547 | gap -0.1212 | lr 3.25e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 906.9 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 1010/2000 | train_now 1.9148 | train_eval 1.8306 | val 1.9540 | gap -0.1234 | lr 3.20e-04 | params 4.77M | host_mem 18.0% | gpu_mem 146.3MB | 910.9 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 1020/2000 | train_now 1.8338 | train_eval 1.8286 | val 1.9233 | gap -0.0948 | lr 3.15e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 908.6 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 1030/2000 | train_now 1.8246 | train_eval 1.8248 | val 1.9474 | gap -0.1226 | lr 3.10e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 944.2 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 1040/2000 | train_now 1.8228 | train_eval 1.8022 | val 1.9190 | gap -0.1168 | lr 3.05e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 894.6 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 1050/2000 | train_now 1.8763 | train_eval 1.8058 | val 1.9248 | gap -0.1189 | lr 3.00e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 921.6 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 1060/2000 | train_now 1.8415 | train_eval 1.7923 | val 1.9263 | gap -0.1339 | lr 2.95e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 900.9 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 1070/2000 | train_now 1.9205 | train_eval 1.7965 | val 1.9099 | gap -0.1135 | lr 2.90e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 900.9 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 1080/2000 | train_now 1.8639 | train_eval 1.7845 | val 1.9227 | gap -0.1382 | lr 2.85e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 921.3 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 1090/2000 | train_now 1.8424 | train_eval 1.8029 | val 1.9295 | gap -0.1266 | lr 2.80e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 897.6 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 1100/2000 | train_now 1.8642 | train_eval 1.7957 | val 1.9227 | gap -0.1270 | lr 2.75e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 903.4 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 1110/2000 | train_now 1.8192 | train_eval 1.7785 | val 1.8978 | gap -0.1193 | lr 2.70e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 900.1 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 1120/2000 | train_now 1.7712 | train_eval 1.7759 | val 1.9112 | gap -0.1352 | lr 2.65e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 923.9 ms/it
