[exp14_head4_emb256_bs16_it2000_do0.1] iter 540/2000 | train_now 2.1730 | train_eval 2.1138 | val 2.1645 | gap -0.0507 | lr 5.24e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 836.7 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 550/2000 | train_now 2.1193 | train_eval 2.1029 | val 2.1513 | gap -0.0484 | lr 5.21e-04 | params 4.77M | host_mem 17.7% | gpu_mem 98.5MB | 874.4 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 560/2000 | train_now 2.1594 | train_eval 2.0990 | val 2.1494 | gap -0.0503 | lr 5.17e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 833.5 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 570/2000 | train_now 2.0881 | train_eval 2.0927 | val 2.1480 | gap -0.0553 | lr 5.14e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 845.0 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 580/2000 | train_now 2.1169 | train_eval 2.0800 | val 2.1217 | gap -0.0417 | lr 5.10e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 834.3 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 590/2000 | train_now 2.0985 | train_eval 2.0795 | val 2.1301 | gap -0.0505 | lr 5.07e-04 | params 4.77M | host_mem 17.7% | gpu_mem 98.5MB | 840.2 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 600/2000 | train_now 2.1036 | train_eval 2.0581 | val 2.0981 | gap -0.0400 | lr 5.03e-04 | params 4.77M | host_mem 17.7% | gpu_mem 98.5MB | 808.9 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 610/2000 | train_now 2.1343 | train_eval 2.0398 | val 2.1294 | gap -0.0896 | lr 5.00e-04 | params 4.77M | host_mem 17.7% | gpu_mem 98.5MB | 835.2 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 620/2000 | train_now 2.0711 | train_eval 2.0357 | val 2.0940 | gap -0.0584 | lr 4.96e-04 | params 4.77M | host_mem 17.7% | gpu_mem 98.5MB | 809.1 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 630/2000 | train_now 2.1301 | train_eval 2.0513 | val 2.0987 | gap -0.0474 | lr 4.92e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 827.5 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 640/2000 | train_now 2.0593 | train_eval 2.0269 | val 2.0913 | gap -0.0644 | lr 4.88e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 807.6 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 650/2000 | train_now 2.1533 | train_eval 2.0279 | val 2.0809 | gap -0.0530 | lr 4.84e-04 | params 4.77M | host_mem 17.7% | gpu_mem 98.5MB | 838.3 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 660/2000 | train_now 2.0923 | train_eval 2.0182 | val 2.0735 | gap -0.0553 | lr 4.80e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 834.5 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 670/2000 | train_now 2.1172 | train_eval 1.9851 | val 2.0772 | gap -0.0921 | lr 4.76e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 852.6 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 680/2000 | train_now 2.0212 | train_eval 1.9894 | val 2.0798 | gap -0.0904 | lr 4.72e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 821.1 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 690/2000 | train_now 2.0643 | train_eval 1.9903 | val 2.0497 | gap -0.0593 | lr 4.68e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 820.9 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 700/2000 | train_now 2.0348 | train_eval 1.9793 | val 2.0656 | gap -0.0863 | lr 4.64e-04 | params 4.77M | host_mem 17.7% | gpu_mem 98.5MB | 881.0 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 710/2000 | train_now 2.0071 | train_eval 1.9817 | val 2.0388 | gap -0.0572 | lr 4.60e-04 | params 4.77M | host_mem 17.7% | gpu_mem 98.5MB | 808.1 ms/it
