[exp29_head8_emb256_bs16_it1000_do0.2] iter 360/1000 | train_now 2.3674 | train_eval 2.3286 | val 2.3637 | gap -0.0351 | lr 4.85e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 912.7 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 370/1000 | train_now 2.3446 | train_eval 2.3158 | val 2.3572 | gap -0.0414 | lr 4.76e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 914.1 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 380/1000 | train_now 2.2921 | train_eval 2.2889 | val 2.3230 | gap -0.0341 | lr 4.68e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 916.3 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 390/1000 | train_now 2.4732 | train_eval 2.3024 | val 2.3030 | gap -0.0007 | lr 4.59e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 938.2 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 400/1000 | train_now 2.3467 | train_eval 2.2679 | val 2.3038 | gap -0.0359 | lr 4.50e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 941.5 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 410/1000 | train_now 2.2958 | train_eval 2.2651 | val 2.2940 | gap -0.0289 | lr 4.41e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 919.7 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 420/1000 | train_now 2.3244 | train_eval 2.2671 | val 2.2913 | gap -0.0242 | lr 4.32e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 975.0 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 430/1000 | train_now 2.3579 | train_eval 2.2469 | val 2.2936 | gap -0.0468 | lr 4.22e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 971.2 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 440/1000 | train_now 2.3315 | train_eval 2.2465 | val 2.2901 | gap -0.0436 | lr 4.12e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 897.0 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 450/1000 | train_now 2.2714 | train_eval 2.2575 | val 2.2860 | gap -0.0285 | lr 4.03e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 928.4 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 460/1000 | train_now 2.2945 | train_eval 2.2289 | val 2.2549 | gap -0.0261 | lr 3.93e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 924.5 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 470/1000 | train_now 2.2988 | train_eval 2.2319 | val 2.2506 | gap -0.0187 | lr 3.83e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 931.0 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 480/1000 | train_now 2.3052 | train_eval 2.2193 | val 2.2507 | gap -0.0314 | lr 3.73e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 927.2 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 490/1000 | train_now 2.2588 | train_eval 2.2177 | val 2.2549 | gap -0.0373 | lr 3.62e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 899.9 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 500/1000 | train_now 2.3012 | train_eval 2.2014 | val 2.2387 | gap -0.0373 | lr 3.52e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 900.6 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 510/1000 | train_now 2.2100 | train_eval 2.2027 | val 2.2343 | gap -0.0316 | lr 3.42e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 930.5 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 520/1000 | train_now 2.3364 | train_eval 2.2097 | val 2.2307 | gap -0.0210 | lr 3.31e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 924.4 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 530/1000 | train_now 2.2705 | train_eval 2.2074 | val 2.2469 | gap -0.0395 | lr 3.21e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 926.7 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 540/1000 | train_now 2.2324 | train_eval 2.1902 | val 2.2399 | gap -0.0497 | lr 3.10e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 897.1 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 550/1000 | train_now 2.2119 | train_eval 2.1757 | val 2.2166 | gap -0.0409 | lr 3.00e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 909.1 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 560/1000 | train_now 2.2587 | train_eval 2.1843 | val 2.2143 | gap -0.0301 | lr 2.90e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 959.6 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 570/1000 | train_now 2.2180 | train_eval 2.1858 | val 2.2154 | gap -0.0295 | lr 2.79e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 959.2 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 580/1000 | train_now 2.2257 | train_eval 2.1738 | val 2.2094 | gap -0.0356 | lr 2.69e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 898.7 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 590/1000 | train_now 2.2058 | train_eval 2.1686 | val 2.2009 | gap -0.0323 | lr 2.58e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 928.2 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 600/1000 | train_now 2.2359 | train_eval 2.1481 | val 2.1716 | gap -0.0235 | lr 2.48e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 914.7 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 610/1000 | train_now 2.2282 | train_eval 2.1453 | val 2.2171 | gap -0.0718 | lr 2.38e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 916.0 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 620/1000 | train_now 2.1817 | train_eval 2.1429 | val 2.1852 | gap -0.0423 | lr 2.27e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 893.2 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 630/1000 | train_now 2.2435 | train_eval 2.1454 | val 2.1776 | gap -0.0322 | lr 2.17e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 892.4 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 640/1000 | train_now 2.1830 | train_eval 2.1306 | val 2.1693 | gap -0.0387 | lr 2.07e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 891.1 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 650/1000 | train_now 2.2643 | train_eval 2.1385 | val 2.1677 | gap -0.0292 | lr 1.97e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 923.4 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 660/1000 | train_now 2.2168 | train_eval 2.1307 | val 2.1709 | gap -0.0402 | lr 1.88e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 912.0 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 670/1000 | train_now 2.2318 | train_eval 2.1076 | val 2.1747 | gap -0.0671 | lr 1.78e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 892.7 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 680/1000 | train_now 2.1564 | train_eval 2.1130 | val 2.1741 | gap -0.0611 | lr 1.68e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 887.9 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 690/1000 | train_now 2.2106 | train_eval 2.1154 | val 2.1526 | gap -0.0372 | lr 1.59e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 902.3 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 700/1000 | train_now 2.1681 | train_eval 2.1017 | val 2.1544 | gap -0.0527 | lr 1.50e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 944.0 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 710/1000 | train_now 2.1337 | train_eval 2.1126 | val 2.1381 | gap -0.0255 | lr 1.41e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 921.4 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 720/1000 | train_now 2.2156 | train_eval 2.0909 | val 2.1542 | gap -0.0633 | lr 1.32e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 931.6 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 730/1000 | train_now 2.1613 | train_eval 2.0989 | val 2.1496 | gap -0.0507 | lr 1.24e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 887.2 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 740/1000 | train_now 2.2153 | train_eval 2.0790 | val 2.1240 | gap -0.0449 | lr 1.15e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 892.5 ms/it
