[exp28_head8_emb256_bs16_it1000_do0.1] iter 360/1000 | train_now 2.2945 | train_eval 2.2710 | val 2.3135 | gap -0.0425 | lr 4.85e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 903.9 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 370/1000 | train_now 2.2872 | train_eval 2.2661 | val 2.3146 | gap -0.0485 | lr 4.76e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 927.8 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 380/1000 | train_now 2.2304 | train_eval 2.2435 | val 2.2871 | gap -0.0437 | lr 4.68e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 905.9 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 390/1000 | train_now 2.4163 | train_eval 2.2591 | val 2.2653 | gap -0.0062 | lr 4.59e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 928.7 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 400/1000 | train_now 2.2853 | train_eval 2.2247 | val 2.2674 | gap -0.0427 | lr 4.50e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 924.2 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 410/1000 | train_now 2.2145 | train_eval 2.2324 | val 2.2637 | gap -0.0312 | lr 4.41e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 904.3 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 420/1000 | train_now 2.2504 | train_eval 2.2219 | val 2.2492 | gap -0.0274 | lr 4.32e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 966.3 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 430/1000 | train_now 2.3041 | train_eval 2.1990 | val 2.2502 | gap -0.0512 | lr 4.22e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 964.5 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 440/1000 | train_now 2.2673 | train_eval 2.1974 | val 2.2482 | gap -0.0509 | lr 4.12e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 913.1 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 450/1000 | train_now 2.2030 | train_eval 2.1921 | val 2.2259 | gap -0.0338 | lr 4.03e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 927.3 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 460/1000 | train_now 2.2338 | train_eval 2.1771 | val 2.2149 | gap -0.0377 | lr 3.93e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 924.6 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 470/1000 | train_now 2.2377 | train_eval 2.1738 | val 2.2027 | gap -0.0289 | lr 3.83e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 921.0 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 480/1000 | train_now 2.2278 | train_eval 2.1542 | val 2.1905 | gap -0.0363 | lr 3.73e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 920.3 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 490/1000 | train_now 2.1871 | train_eval 2.1547 | val 2.1972 | gap -0.0425 | lr 3.62e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 921.0 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 500/1000 | train_now 2.2283 | train_eval 2.1359 | val 2.1834 | gap -0.0475 | lr 3.52e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 897.7 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 510/1000 | train_now 2.1305 | train_eval 2.1441 | val 2.1895 | gap -0.0454 | lr 3.42e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 923.2 ms/it
